type,bbox,interactivity,content,source,ID
text,"[0.09169496595859528, 0.0046317740343511105, 0.13738808035850525, 0.028253821656107903]",False,G Google,box_ocr_content_ocr,0
text,"[0.08860759437084198, 0.0407596118748188, 0.18956467509269714, 0.06252894550561905]",False,https://www.google.com,box_ocr_content_ocr,1
text,"[0.8264896869659424, 0.0842982828617096, 0.8913244605064392, 0.10977303981781006]",False,GmailImages,box_ocr_content_ocr,2
text,"[0.016671812161803246, 0.08893006294965744, 0.050941649824380875, 0.10606762021780014]",False,About,box_ocr_content_ocr,3
text,"[0.4146341383457184, 0.3024548292160034, 0.5875270366668701, 0.39277443289756775]",False,Google,box_ocr_content_ocr,4
text,"[0.39672738313674927, 0.5470125079154968, 0.6261191964149475, 0.568781852722168]",False,Discover all the ways Chrome keeps you safe while you browse,box_ocr_content_ocr,5
text,"[0.41247299313545227, 0.9184807538986206, 0.5884532332420349, 0.94210284948349]",False, Our third decade of climate action: join us.,box_ocr_content_ocr,6
text,"[0.9583204984664917, 0.9624826312065125, 0.9885767102241516, 0.9796202182769775]",False,3:55 PM,box_ocr_content_ocr,7
text,"[0.9447360038757324, 0.9749884009361267, 0.9895029067993164, 0.9967577457427979]",False,10/25/2024,box_ocr_content_ocr,8
icon,"[0.9281796216964722, 0.0764855369925499, 0.9831767082214355, 0.11568739265203476]",True,Sign in ,box_yolo_content_ocr,9
icon,"[0.4131855070590973, 0.48573094606399536, 0.49345818161964417, 0.5225802659988403]",True,Google Search ,box_yolo_content_ocr,10
icon,"[0.4974106550216675, 0.4856632649898529, 0.586562991142273, 0.5226561427116394]",True,I'm Feeling Luckye ,box_yolo_content_ocr,11
icon,"[0.002707022475078702, 0.0007645408622920513, 0.06094774603843689, 0.030053189024329185]",True, InPrivate ,box_yolo_content_ocr,12
icon,"[0.2825961410999298, 0.9619941115379333, 0.4208165407180786, 0.9922386407852173]",True,Q Search ,box_yolo_content_ocr,13
icon,"[0.9357854127883911, 0.909292459487915, 0.9850160479545593, 0.9485495090484619]",True,Settings ,box_yolo_content_ocr,14
icon,"[0.13088171184062958, 0.9077900648117065, 0.21810489892959595, 0.951102077960968]",True,How Search works. ,box_yolo_content_ocr,15
icon,"[0.01342424750328064, 0.9074922800064087, 0.07828835397958755, 0.951622724533081]",True,Advertising ,box_yolo_content_ocr,16
icon,"[0.07526795566082001, 0.9097180962562561, 0.13066190481185913, 0.9483484625816345]",True,Business ,box_yolo_content_ocr,17
icon,"[0.8930801153182983, 0.9109741449356079, 0.9352004528045654, 0.9462133646011353]",True,Terms ,box_yolo_content_ocr,18
icon,"[0.8480035662651062, 0.9126315116882324, 0.8927358388900757, 0.9456222057342529]",True,Privacy ,box_yolo_content_ocr,19
icon,"[0.05058124288916588, 0.08038695156574249, 0.07761335372924805, 0.11040975153446198]",True,Store ,box_yolo_content_ocr,20
icon,"[0.650027334690094, 0.4206562936306, 0.6754916310310364, 0.45667803287506104]",True,谷歌云端硬盘图标 -> “访问Google云端硬盘”,box_yolo_content_yolo,21
icon,"[0.06314653158187866, 0.0, 0.0856260433793068, 0.03251451998949051]",True,分屏显示,box_yolo_content_yolo,22
icon,"[0.03157155215740204, 0.03109664097428322, 0.05707450956106186, 0.06863964349031448]",True,"""刷新页面""",box_yolo_content_yolo,23
icon,"[0.4201878309249878, 0.9582616686820984, 0.44622719287872314, 1.0]",True,"""使用Microsoft Edge浏览器的工作账户""",box_yolo_content_yolo,24
icon,"[0.24437293410301208, 0.0018228691769763827, 0.2600766122341156, 0.03198886290192604]",True,新增或添加内容,box_yolo_content_yolo,25
icon,"[0.004374420270323753, 0.030694574117660522, 0.03009333461523056, 0.06797631829977036]",True,返回上一页,box_yolo_content_yolo,26
icon,"[0.3241095244884491, 0.42200666666030884, 0.3456819951534271, 0.45719048380851746]",True,搜索功能,box_yolo_content_yolo,27
icon,"[0.5331975817680359, 0.9600552320480347, 0.55486661195755, 0.9969549775123596]",True,网络防火墙已启用,box_yolo_content_yolo,28
icon,"[0.5574242472648621, 0.9597151875495911, 0.5807310938835144, 0.9992560148239136]",True,代码编辑器 Visual Studio Code,box_yolo_content_yolo,29
icon,"[0.5041346549987793, 0.9606187343597412, 0.528409481048584, 0.9975971579551697]",True,收发电子邮件,box_yolo_content_yolo,30
icon,"[0.5853179693222046, 0.9585142731666565, 0.6075467467308044, 1.0]",True,命令行终端,box_yolo_content_yolo,31
icon,"[0.8955329060554504, 0.07428429275751114, 0.9209294319152832, 0.11719632148742676]",True,应用菜单,box_yolo_content_yolo,32
icon,"[0.4490323066711426, 0.9628338813781738, 0.4740328788757324, 1.0]",True,打开文件管理器,box_yolo_content_yolo,33
icon,"[0.6112216114997864, 0.9594554901123047, 0.6362529397010803, 1.0]",True,"""Microsoft Teams消息通知""",box_yolo_content_yolo,34
icon,"[0.6285666227340698, 0.42137017846107483, 0.6466296911239624, 0.4553523659706116]",True,语音搜索,box_yolo_content_yolo,35
icon,"[0.6930705904960632, 0.963577926158905, 0.7159250378608704, 0.9999098777770996]",True,切换或管理Microsoft Edge浏览器的用户账户。,box_yolo_content_yolo,36
icon,"[0.9472078084945679, 0.0006242553354240954, 0.9683747887611389, 0.02891196496784687]",True,"""复制到剪贴板""",box_yolo_content_yolo,37
icon,"[0.22164030373096466, 0.0024885665625333786, 0.23712554574012756, 0.032073359936475754]",True,关闭窗口,box_yolo_content_yolo,38
icon,"[0.9729903340339661, 0.0, 0.9988571405410767, 0.03135490044951439]",True,关闭窗口,box_yolo_content_yolo,39
icon,"[0.7238903641700745, 0.963122546672821, 0.7431817650794983, 0.9986525177955627]",True,截图工具,box_yolo_content_yolo,40
icon,"[0.6685887575149536, 0.9641104340553284, 0.6881208419799805, 0.9920094013214111]",True,磁盘碎片整理,box_yolo_content_yolo,41
icon,"[0.47689008712768555, 0.9634242653846741, 0.49844175577163696, 0.9980321526527405]",True,记笔记（OneNote）,box_yolo_content_yolo,42
icon,"[0.257963091135025, 0.9636390805244446, 0.2785980999469757, 0.9912864565849304]",True,打开开始菜单,box_yolo_content_yolo,43
icon,"[0.9733816385269165, 0.03162453696131706, 0.997978687286377, 0.06269329786300659]",True,"""更多选项""",box_yolo_content_yolo,44
icon,"[0.6417554616928101, 0.9619386196136475, 0.6607760787010193, 0.9932026267051697]",True,系统资源监控,box_yolo_content_yolo,45
icon,"[0.9432117342948914, 0.03372562304139137, 0.9683334231376648, 0.06516675651073456]",True,收藏或添加到收藏夹,box_yolo_content_yolo,46
icon,"[0.918919563293457, 0.0, 0.9403495788574219, 0.029354996979236603]",True,最小化窗口,box_yolo_content_yolo,47
icon,"[0.06152766942977905, 0.03315781056880951, 0.08845175802707672, 0.06623466312885284]",True,"""锁定屏幕""",box_yolo_content_yolo,48
icon,"[0.8254331350326538, 0.07896485179662704, 0.8560302257537842, 0.1108444333076477]",True,打开Gmail邮箱,box_yolo_content_yolo,49
icon,"[0.37635326385498047, 0.5412353873252869, 0.3960759937763214, 0.5740324854850769]",True,网页浏览器（Google Chrome）,box_yolo_content_yolo,50
icon,"[0.0001499168574810028, 0.031174225732684135, 0.005654082167893648, 0.06639215350151062]",True,未知图标,box_yolo_content_yolo,51
