type,bbox,interactivity,content,source,ID
text,"[0.9592341184616089, 0.9624826312065125, 0.9876466989517212, 0.9796202182769775]",False,3:46 PM,box_ocr_content_ocr,0
text,"[0.9444101452827454, 0.9740620851516724, 0.9898084998130798, 0.9935154914855957]",False,10/25/2024,box_ocr_content_ocr,1
icon,"[0.29519057273864746, 0.9615697264671326, 0.43365639448165894, 0.9923648238182068]",True,Q Search ,box_yolo_content_ocr,2
icon,"[0.4354797303676605, 0.961342990398407, 0.4586084485054016, 0.9985560774803162]",True,“Microsoft Edge浏览器的工作账户模式”,box_yolo_content_yolo,3
icon,"[0.5451383590698242, 0.9589402675628662, 0.5681871175765991, 0.9963269233703613]",True,网络安全防护已开启,box_yolo_content_yolo,4
icon,"[0.569648802280426, 0.9581479430198669, 0.5959972739219666, 1.0]",True,代码编辑器 Visual Studio Code,box_yolo_content_yolo,5
icon,"[0.5977668166160583, 0.9582968354225159, 0.6215285062789917, 1.0]",True,打开终端,box_yolo_content_yolo,6
icon,"[0.6251272559165955, 0.9593729376792908, 0.6499796509742737, 0.9993382692337036]",True,"""Microsoft Teams消息通知""",box_yolo_content_yolo,7
icon,"[0.5171850919723511, 0.9593833088874817, 0.5418561100959778, 0.999081552028656]",True,收发电子邮件,box_yolo_content_yolo,8
icon,"[0.7073729634284973, 0.9614828824996948, 0.730069637298584, 0.9985405802726746]",True,切换或管理Microsoft Edge浏览器的用户账户,box_yolo_content_yolo,9
icon,"[0.27048635482788086, 0.9606685042381287, 0.2937633991241455, 0.9925917387008667]",True,打开开始菜单,box_yolo_content_yolo,10
icon,"[0.6788486838340759, 0.9629100561141968, 0.7038199305534363, 0.9981493353843689]",True,磁盘碎片整理,box_yolo_content_yolo,11
icon,"[0.6535196900367737, 0.9602829813957214, 0.6764824390411377, 0.9984755516052246]",True,系统资源监控,box_yolo_content_yolo,12
icon,"[0.461964875459671, 0.9606938362121582, 0.4863188564777374, 1.0]",True,打开文件资源管理器,box_yolo_content_yolo,13
icon,"[0.48939940333366394, 0.9594544768333435, 0.5122210383415222, 0.999965488910675]",True,记笔记应用（OneNote）,box_yolo_content_yolo,14
icon,"[0.11310131102800369, 0.5564061999320984, 0.8621615171432495, 0.9676623940467834]",True,未知图标,box_yolo_content_yolo,15
