type,bbox,interactivity,content,source,ID
text,"[0.09169496595859528, 0.0046317740343511105, 0.13738808035850525, 0.028253821656107903]",False,G Google,box_ocr_content_ocr,0
text,"[0.08860759437084198, 0.0407596118748188, 0.18956467509269714, 0.06252894550561905]",False,https://www.google.com,box_ocr_content_ocr,1
text,"[0.8264896869659424, 0.0842982828617096, 0.8913244605064392, 0.10977303981781006]",False,GmailImages,box_ocr_content_ocr,2
text,"[0.016671812161803246, 0.08893006294965744, 0.050941649824380875, 0.10606762021780014]",False,About,box_ocr_content_ocr,3
text,"[0.4146341383457184, 0.3024548292160034, 0.5875270366668701, 0.39277443289756775]",False,Google,box_ocr_content_ocr,4
text,"[0.39672738313674927, 0.5470125079154968, 0.6261191964149475, 0.568781852722168]",False,Discover all the ways Chrome keeps you safe while you browse,box_ocr_content_ocr,5
text,"[0.41247299313545227, 0.9184807538986206, 0.5884532332420349, 0.94210284948349]",False, Our third decade of climate action: join us.,box_ocr_content_ocr,6
text,"[0.9583204984664917, 0.9624826312065125, 0.9885767102241516, 0.9796202182769775]",False,3:55 PM,box_ocr_content_ocr,7
text,"[0.9447360038757324, 0.9749884009361267, 0.9895029067993164, 0.9967577457427979]",False,10/25/2024,box_ocr_content_ocr,8
icon,"[0.9281796216964722, 0.0764855295419693, 0.9831767082214355, 0.11568738520145416]",True,Sign in ,box_yolo_content_ocr,9
icon,"[0.4131855368614197, 0.48573094606399536, 0.493458092212677, 0.5225802659988403]",True,Google Search ,box_yolo_content_ocr,10
icon,"[0.4974106550216675, 0.48566320538520813, 0.586562991142273, 0.5226561427116394]",True,I'm Feeling Luckye ,box_yolo_content_ocr,11
icon,"[0.002707016421481967, 0.0007645408622920513, 0.06094774976372719, 0.030053196474909782]",True, InPrivate ,box_yolo_content_ocr,12
icon,"[0.2825961410999298, 0.9619939923286438, 0.4208165407180786, 0.9922386407852173]",True,Q Search ,box_yolo_content_ocr,13
icon,"[0.9357854127883911, 0.909292459487915, 0.9850159883499146, 0.9485495090484619]",True,Settings ,box_yolo_content_ocr,14
icon,"[0.13088171184062958, 0.9077900648117065, 0.21810489892959595, 0.9511020183563232]",True,How Search works. ,box_yolo_content_ocr,15
icon,"[0.013424258679151535, 0.9074922800064087, 0.07828834652900696, 0.951622724533081]",True,Advertising ,box_yolo_content_ocr,16
icon,"[0.0752679780125618, 0.9097180962562561, 0.13066190481185913, 0.9483484029769897]",True,Business ,box_yolo_content_ocr,17
icon,"[0.8930801153182983, 0.9109741449356079, 0.9352004528045654, 0.9462133646011353]",True,Terms ,box_yolo_content_ocr,18
icon,"[0.848003625869751, 0.9126315116882324, 0.8927357196807861, 0.9456221461296082]",True,Privacy ,box_yolo_content_ocr,19
icon,"[0.050581227988004684, 0.0803869441151619, 0.07761335372924805, 0.11040975898504257]",True,Store ,box_yolo_content_ocr,20
icon,"[0.650027334690094, 0.4206562340259552, 0.6754916310310364, 0.4566780626773834]",True,谷歌云端硬盘,box_yolo_content_yolo,21
icon,"[0.06314653158187866, 0.0, 0.0856260433793068, 0.03251451998949051]",True,分屏显示,box_yolo_content_yolo,22
icon,"[0.031571559607982635, 0.03109663911163807, 0.05707450583577156, 0.06863963603973389]",True,"""刷新页面""",box_yolo_content_yolo,23
icon,"[0.4201878309249878, 0.9582616686820984, 0.44622713327407837, 1.0]",True,“使用Microsoft Edge浏览器的工作模式”,box_yolo_content_yolo,24
icon,"[0.24437299370765686, 0.0018228680128231645, 0.2600766718387604, 0.031988874077796936]",True,新增或添加内容,box_yolo_content_yolo,25
icon,"[0.004374414682388306, 0.030694562941789627, 0.03009333461523056, 0.06797631829977036]",True,返回上一页,box_yolo_content_yolo,26
icon,"[0.3241095244884491, 0.42200666666030884, 0.3456819951534271, 0.45719048380851746]",True,搜索功能,box_yolo_content_yolo,27
icon,"[0.5331975817680359, 0.9600552320480347, 0.55486661195755, 0.9969549775123596]",True,网络防火墙已启用,box_yolo_content_yolo,28
icon,"[0.5574242472648621, 0.9597151875495911, 0.5807310938835144, 0.9992560148239136]",True,"""启动Visual Studio Code编辑器""",box_yolo_content_yolo,29
icon,"[0.5041346549987793, 0.9606187343597412, 0.528409481048584, 0.9975971579551697]",True,收发电子邮件,box_yolo_content_yolo,30
icon,"[0.5853179097175598, 0.9585142135620117, 0.6075467467308044, 1.0]",True,打开终端或命令行窗口,box_yolo_content_yolo,31
icon,"[0.8955328464508057, 0.07428430020809174, 0.9209294319152832, 0.11719630658626556]",True,应用程序菜单,box_yolo_content_yolo,32
icon,"[0.4490323066711426, 0.9628338813781738, 0.4740328788757324, 1.0]",True,打开文件管理器,box_yolo_content_yolo,33
icon,"[0.6112216114997864, 0.9594554901123047, 0.6362529397010803, 1.0]",True,"""Microsoft Teams新消息通知""",box_yolo_content_yolo,34
icon,"[0.6285666227340698, 0.42137017846107483, 0.6466296911239624, 0.4553523659706116]",True,语音搜索,box_yolo_content_yolo,35
icon,"[0.6930705904960632, 0.963577926158905, 0.7159250378608704, 0.9999098777770996]",True,切换或管理Microsoft Edge浏览器的用户账户。,box_yolo_content_yolo,36
icon,"[0.9472078084945679, 0.0006242598174139857, 0.9683747887611389, 0.028911961242556572]",True,"""复制内容""",box_yolo_content_yolo,37
icon,"[0.22164028882980347, 0.0024885721504688263, 0.23712554574012756, 0.032073359936475754]",True,关闭窗口,box_yolo_content_yolo,38
icon,"[0.9729903340339661, 0.0, 0.9988571405410767, 0.03135490417480469]",True,关闭窗口,box_yolo_content_yolo,39
icon,"[0.7238903641700745, 0.963122546672821, 0.7431817650794983, 0.9986525177955627]",True,截图工具,box_yolo_content_yolo,40
icon,"[0.6685887575149536, 0.9641104340553284, 0.6881207823753357, 0.9920094013214111]",True,磁盘碎片整理,box_yolo_content_yolo,41
icon,"[0.47689008712768555, 0.963424026966095, 0.49844175577163696, 0.9980321526527405]",True,"""打开Microsoft OneNote应用""",box_yolo_content_yolo,42
icon,"[0.257963091135025, 0.9636390805244446, 0.2785980999469757, 0.9912864565849304]",True,打开开始菜单,box_yolo_content_yolo,43
icon,"[0.9733816385269165, 0.031624555587768555, 0.997978687286377, 0.06269329786300659]",True,"""显示更多选项""",box_yolo_content_yolo,44
icon,"[0.6417554616928101, 0.9619386196136475, 0.660775899887085, 0.9932027459144592]",True,"""查看系统资源使用情况""",box_yolo_content_yolo,45
icon,"[0.9432117342948914, 0.033725615590810776, 0.9683334231376648, 0.06516676396131516]",True,添加到收藏夹,box_yolo_content_yolo,46
icon,"[0.918919563293457, 0.0, 0.9403495788574219, 0.029354991391301155]",True,最小化窗口,box_yolo_content_yolo,47
icon,"[0.06152766942977905, 0.03315781429409981, 0.08845176547765732, 0.06623466312885284]",True,"""锁定屏幕""",box_yolo_content_yolo,48
icon,"[0.8254331350326538, 0.07896486669778824, 0.8560302257537842, 0.1108444482088089]",True,收发电子邮件,box_yolo_content_yolo,49
icon,"[0.37635326385498047, 0.5412353277206421, 0.396075963973999, 0.5740325450897217]",True,网页浏览器（Google Chrome）,box_yolo_content_yolo,50
icon,"[0.0001499168574810028, 0.031174225732684135, 0.005654082167893648, 0.06639213860034943]",True,未知图标,box_yolo_content_yolo,51
